datetime,variable
03/03/2019 14:10,1551.690127
03/03/2019 14:20,1491.545244
03/03/2019 14:30,1832.064641
03/03/2019 14:40,2080.282052
03/03/2019 14:50,1953.672709
03/03/2019 15:00,2026.775148
03/03/2019 15:10,2090.789011
03/03/2019 15:20,2171.012353
03/03/2019 15:30,2294.333481
03/03/2019 15:40,2436.831258
03/03/2019 15:50,2463.278211
03/03/2019 16:00,2432.978652
03/03/2019 16:10,2607.340663
03/03/2019 16:20,2737.120481
03/03/2019 16:30,2767.86602
03/03/2019 16:40,3049.498829
03/03/2019 16:50,3201.498177
03/03/2019 17:00,3212.485287
03/03/2019 17:10,3430.288106
03/03/2019 17:20,3471.383171
03/03/2019 17:30,3486.473178
03/03/2019 17:40,3759.584637
03/03/2019 17:50,3414.740656
03/03/2019 18:00,3922.353391
03/03/2019 18:10,4047.109616
03/03/2019 18:20,4150.208405
03/03/2019 18:30,4207.287185
03/03/2019 18:40,4464.863472
03/03/2019 18:50,4530.913243
03/03/2019 19:00,4693.488929
03/03/2019 19:10,4791.316762
03/03/2019 19:20,4825.331311
03/03/2019 19:30,5150.168102
03/03/2019 19:40,5227.759959
03/03/2019 19:50,5351.784205
03/03/2019 20:00,5645.358847
03/03/2019 20:10,5557.052339
03/03/2019 20:20,5938.017255
03/03/2019 20:30,5964.805096
03/03/2019 20:40,6108.425364
03/03/2019 20:50,6312.629494
03/03/2019 21:00,6281.592113
03/03/2019 21:10,6450.37253
03/03/2019 21:20,6611.170137
03/03/2019 21:30,6546.299566
03/03/2019 21:40,6925.232193
03/03/2019 21:50,6722.586473
03/03/2019 22:00,6892.073822
03/03/2019 22:10,6784.608063
03/03/2019 22:20,7085.282621
03/03/2019 22:30,6946.509428
03/03/2019 22:40,7029.691187
03/03/2019 22:50,6998.179871
03/03/2019 23:00,7145.898502
03/03/2019 23:10,6945.397731
03/03/2019 23:20,6795.108002
03/03/2019 23:30,6798.256433
03/03/2019 23:40,6583.584556
03/03/2019 23:50,6287.290013
04/03/2019 00:00,5811.422958
04/03/2019 00:10,6039.266656
04/03/2019 00:20,6208.103093
04/03/2019 00:30,6360.310701
04/03/2019 00:40,6485.259374
04/03/2019 00:50,6535.601178
04/03/2019 01:00,6481.581476
04/03/2019 01:10,6699.98887
04/03/2019 01:20,6662.2814
04/03/2019 01:30,6653.658859
04/03/2019 01:40,6514.939905
04/03/2019 01:50,6612.271916
04/03/2019 02:00,6449.532093
04/03/2019 02:10,6353.914094
04/03/2019 02:20,6314.794124
04/03/2019 02:30,6311.890037
04/03/2019 02:40,6137.814438
04/03/2019 02:50,6015.821168
04/03/2019 03:00,5910.075226
04/03/2019 03:10,6059.407314
04/03/2019 03:20,5690.316308
04/03/2019 03:30,5802.289714
04/03/2019 03:40,5821.950662
04/03/2019 03:50,5623.910714
04/03/2019 04:00,5432.463201
04/03/2019 04:10,5499.397699
04/03/2019 04:20,5419.567925
04/03/2019 04:30,5051.651557
04/03/2019 04:40,5031.853997
04/03/2019 04:50,5160.238023
04/03/2019 05:00,4999.469193
04/03/2019 05:10,4669.177344
04/03/2019 05:20,4404.243303
04/03/2019 05:30,4269.775662
04/03/2019 05:40,4116.435271
04/03/2019 05:50,4250.115557
04/03/2019 06:00,4021.480317
04/03/2019 06:10,3941.114549
04/03/2019 06:20,3794.836401
04/03/2019 06:30,3740.175713
04/03/2019 06:40,3585.33589
04/03/2019 06:50,3532.921604
04/03/2019 07:00,3183.018634
04/03/2019 07:10,3037.947773
04/03/2019 07:20,2931.728923
04/03/2019 07:30,2840.437976
04/03/2019 07:40,2724.185411
04/03/2019 07:50,2501.833444
04/03/2019 08:00,2287.548599
04/03/2019 08:10,2191.504439
04/03/2019 08:20,1907.920891
04/03/2019 08:30,1814.131262
04/03/2019 08:40,1737.086979
04/03/2019 08:50,1578.611344
04/03/2019 09:00,1591.238859
04/03/2019 09:10,1619.512186
04/03/2019 09:20,1422.001207
04/03/2019 09:30,1292.598872
04/03/2019 09:40,1540.156505
04/03/2019 09:50,1391.743083
04/03/2019 10:00,1247.376216
04/03/2019 10:10,1294.078834
04/03/2019 10:20,1276.795008
04/03/2019 10:30,1221.475393
04/03/2019 10:40,1308.066065
04/03/2019 10:50,1394.55943
04/03/2019 11:00,1226.57406
04/03/2019 11:10,1295.187823
04/03/2019 11:20,1318.370233
04/03/2019 11:30,1417.091936
04/03/2019 11:40,1351.759265
04/03/2019 11:50,1314.494862
04/03/2019 12:00,1198.910531
04/03/2019 12:10,1223.367025
04/03/2019 12:20,1289.149898
04/03/2019 12:30,1224.253934
04/03/2019 12:40,1252.221746
04/03/2019 12:50,1352.456147
04/03/2019 13:00,1432.638085
04/03/2019 13:10,1521.922499
04/03/2019 13:20,1440.089477
04/03/2019 13:30,1340.478689
04/03/2019 13:40,1524.55618
04/03/2019 13:50,1510.117886
04/03/2019 14:00,1505.398817
04/03/2019 14:10,1658.751826
04/03/2019 14:20,1654.221301
04/03/2019 14:30,1662.912756
04/03/2019 14:40,1978.600729
04/03/2019 14:50,1645.319449
04/03/2019 15:00,1692.366824
04/03/2019 15:10,2031.530423
04/03/2019 15:20,2056.965254
04/03/2019 15:30,2128.487047
04/03/2019 15:40,2040.343355
04/03/2019 15:50,2285.377956
04/03/2019 16:00,2469.454984
04/03/2019 16:10,2362.065147
04/03/2019 16:20,2415.357081
04/03/2019 16:30,2696.049701
04/03/2019 16:40,2812.775533
04/03/2019 16:50,2863.159567
04/03/2019 17:00,2902.71874
04/03/2019 17:10,3223.711575
04/03/2019 17:20,3186.316071
04/03/2019 17:30,3257.349239
04/03/2019 17:40,3586.209408
04/03/2019 17:50,3560.469092
04/03/2019 18:00,3675.123293
04/03/2019 18:10,3814.485903
04/03/2019 18:20,4022.754016
04/03/2019 18:30,4095.179519
04/03/2019 18:40,4230.747086
04/03/2019 18:50,4512.228497
04/03/2019 19:00,4638.239208
04/03/2019 19:10,4706.661562
04/03/2019 19:20,4955.343429
04/03/2019 19:30,4966.00753
04/03/2019 19:40,5042.770455
04/03/2019 19:50,5266.397017
04/03/2019 20:00,5443.645316
04/03/2019 20:10,5498.037164
04/03/2019 20:20,5744.528082
04/03/2019 20:30,5770.490755
04/03/2019 20:40,6048.062268
04/03/2019 20:50,6094.619446
04/03/2019 21:00,6188.581537
04/03/2019 21:10,6159.023673
04/03/2019 21:20,6188.989603
04/03/2019 21:30,6576.240162
04/03/2019 21:40,6288.746123
04/03/2019 21:50,6554.897998
04/03/2019 22:00,6791.304924
04/03/2019 22:10,6662.876506
04/03/2019 22:20,6893.934052
04/03/2019 22:30,6918.423651
04/03/2019 22:40,6974.962083
04/03/2019 22:50,7035.033892
04/03/2019 23:00,6935.226775
04/03/2019 23:10,6939.294896
04/03/2019 23:20,6778.3591
04/03/2019 23:30,6603.959938
04/03/2019 23:40,6300.402584
04/03/2019 23:50,6166.899709
05/03/2019 00:00,5404.912492
05/03/2019 00:10,5687.965124
05/03/2019 00:20,5697.196065
05/03/2019 00:30,5952.309011
05/03/2019 00:40,5875.757
05/03/2019 00:50,6039.37312
05/03/2019 01:00,6093.362755
05/03/2019 01:10,6047.411289
05/03/2019 01:20,6032.323658
05/03/2019 01:30,6033.499112
05/03/2019 01:40,6006.549498
05/03/2019 01:50,6077.490838
05/03/2019 02:00,6066.610981
05/03/2019 02:10,5944.851734
05/03/2019 02:20,5849.520881
05/03/2019 02:30,5661.789017
05/03/2019 02:40,5751.729732
05/03/2019 02:50,5511.115907
05/03/2019 03:00,5466.998021
05/03/2019 03:10,5688.367013
05/03/2019 03:20,5389.653558
05/03/2019 03:30,5375.010071
05/03/2019 03:40,5110.96191
05/03/2019 03:50,5224.948225
05/03/2019 04:00,5129.185756
05/03/2019 04:10,5030.275063
05/03/2019 04:20,4797.789612
05/03/2019 04:30,4695.246131
05/03/2019 04:40,4450.887967
05/03/2019 04:50,4381.292316
